Method,MAE
Trident_v23_no_seasonal,0.3719925373134328
Trident_v23_no_seasonal,0.5333582089552233
Trident_v23_no_seasonal,0.9998507462686574
Trident_v23_no_seasonal,0.5029850746268655
Trident_v23_no_seasonal,0.2436434761675495
Trident_v23_no_seasonal,0.24677611940298505
Trident_v23_no_seasonal,0.29253731343283573
Trident_v23_no_seasonal,0.22791044776119393
Trident_v23_no_seasonal,0.27993177660086627
Trident_v23_no_seasonal,0.3065162464985991
Trident_v23_no_seasonal,0.3297611940298509
Trident_v23_no_seasonal,0.5524374176548091
Trident_v23_no_seasonal,0.45584932480454865
Trident_v23_no_seasonal,0.3172313725490193
Trident_v23_no_seasonal,0.30215392392874346
Trident_v23_no_seasonal,0.34888235294117664
Trident_v23_no_seasonal,1.1262970859985781
Trident_v23_no_seasonal,0.3169253731343283
Trident_v23_no_seasonal,0.3177058823529413
Trident_v23_no_seasonal,0.6510216718266262
Trident_v23_no_seasonal,0.2929915471187749
Trident_v23_no_seasonal,0.3123529411764706
Trident_v23_no_seasonal,0.25875058789653027
Trident_v23_no_seasonal,0.3045241694752047
Trident_v23_no_seasonal,0.3669253731343285
Trident_v23_no_seasonal,0.32294136440518706
Trident_v23_no_seasonal,0.6115849324804549
Trident_v23_no_seasonal,0.7000588235294115
Trident_v23_no_seasonal,0.31604477611940307
Trident_v23_no_seasonal,1.085485074626865
Trident_v23_no_seasonal,0.36470588235294155
Trident_v23_no_seasonal,0.3544776119402986
Trident_v23_no_seasonal,0.3106431872893597
Trident_v23_no_seasonal,0.30791044776119403
Trident_v23_no_seasonal,0.22955223880597003
Trident_v23_no_seasonal,0.35549253731343283
Trident_v23_no_seasonal,0.41089552238805965
Trident_v23_no_seasonal,0.8184446190102121
Trident_v23_no_seasonal,0.22226865671641793
Trident_v23_no_seasonal,0.41370710784313713
Trident_v23_no_seasonal,1.121679104477612
Trident_v23_no_seasonal,0.4454029850746269
Trident_v23_no_seasonal,0.4395223880597016
Trident_v23_no_seasonal,0.5701212121212124
Trident_v23_no_seasonal,0.3721568627450981
Trident_v23_no_seasonal,0.6842913165266103
Trident_v23_no_seasonal,0.42217910447761225
Trident_v23_no_seasonal,0.39641176470588224
Trident_v23_no_seasonal,1.142294117647059
Trident_v23_no_seasonal,0.4134520324422901
Trident_v23_no_seasonal,0.7632878787878784
Trident_v23_no_seasonal,0.40940298507462736
Trident_v23_no_seasonal,0.6813290689410089
Trident_v23_no_seasonal,0.39651741293532333
Trident_v23_no_seasonal,0.44994117647058823
Trident_v23_no_seasonal,1.7814558823529405
